Object,Lat,Long,Date,Time,Seeing,Transparency,Power,Description
M1,34.98273,-87.1495491,12/31/22,9:10 PM,VG,3,15mm,Large faint smudge
M2,Lester,Lester,6/29/23,1:00 AM,VG,2.5,20mm,"Similar to M15. Circular, bright, compact cluster. Large. No resolvable stars"
M3*,Lester,Lester,3/29/23,11:15 PM,G,3,9mm,"Very bright, large, and generally circular. Mottled texture. Very rough. Emerging faint stars in and around the center and edge. Very rich. Almost like gravel or sand paper"
M4,Lester,Lester,6/17/23,10:40 PM,VG,4,15mm,Circular globular cluster. Does not seem very compact. Sparse set of stars of the same magnitude in the foreground w/ a cloudy circular dim background. The circular background seems to be same diameter as the perimeter
M5,Lester,Lester,5/24/23,10:45 PM,G,3,15mm,Large globular cluster. Dense and large compact core. Circular. A prominent star near the edge of the cluster. I double it is related. Upon futher inspection and consideration it seems clearly related. Many stars pepper the orbit of the core. Dandelion-esque
M6,Lester,Lester,6/24/23,10:20 PM,VG,3.5,20mm,A loose cluster of stars covering a large area in a 20mm eyepiece which become apparent in constrast to the surrounding darkness. Maybe 30 or 40 stars. Some faint in background. I can see the wings of the butterly
M7,Lester,Lester,6/24/23,10:25 PM,VG,3.5,20mm,Very similar to the Butterfly cluster. Takes up a larger area of the 20mm eyepiece. It almost covers the whole view. Obvious transition from the surrounding area to the cluster. The stars seem to be more of an even magnitude than the Butterfly cluster. A few stars of lower magnitude in the background. Very spread out and sparse.
M8*,Lester,Lester,6/24/23,11:00 PM,VG,3.5,20mm,A cloudy object next to a cluster of stars. The nebula is large and bright and reminds me of the Orion Nebula. The two objects compose an interesting picture. I wouldn't surprised if they were connected with the nebula producing the cluster. There seems to be a channel between the cluster and nebula. Some of the nebula on the other side of the channel. Interesting milky features. Two stars in core brightness of nebula.
M9,Lester,Lester,6/17/23,11:15 PM,VG,4,15mm,A large and bright globular cluster with a soft texture and faint stars peppering the perimeter. Irregularly shaped. Mainly circular. Seems somewhat compact but also seems irregularly shaped. I could be hallucinating.
M10,Lester,Lester,6/9/23,9:55 PM,VG,4,20mm,A warm ball. It's hard to make detail of the stars. Circular. There are a lot of stars way beyond the perimeter that seem to be a part of the system. It seems dense in the center with a very gradual release of a peppering of stars around the perimeter. Very large. Soft texture.
M11,Lester,Lester,6/27/23,11:15 PM,VG,3.5,20mm,A cluster of stars of low magnitude. It's interesting because they are almost all low magnitude but I can resolve a lot of them. There are a lot near the core. Maybe 50 to 100 stars. One brighter star near the middle. Circular. Barred mushroom shape.
M12*,Lester,Lester,6/9/23,9:40 PM,VG,4,20mm,"Very nice, irregularly shaped globular cluster. Odd arrangement of brighter stars around the perimeter. Almost looks like a globular cluster has been smacked in the face. A striking mixture of rough and smooth texture."
M13*,Lester,Lester,4/17/23,11:40 PM,G,4,15mm,"Extremely large and bright. Very rough. Focusing my eyesight reveals a large set of individual stars revealing an abnormal ""spider""-like shape. Loosely spread forefront stars with a glowing background suggesting a denser core."
M14,Lester,Lester,6/9/23,10:25 PM,VG,4,20mm,Circular. No individual stars that I can make out. Smooth texture. Large. Globular cluster
M15,Lester,Lester,6/29/23,12:55 AM,VG,2.5,20mm,"Circular, very bright, no individual stars. Extremely bright core that tapers off quickly. Compact, mottled maybe."
M16,Lester,Lester,6/26/23,11:30 PM,G,4,20mm,Honestly kind of underwhelming. I've spent a lot of time looking around for something else because it seems like a small star cluster to me. Any nebulosity could be imagined but comes from averted vision and allowing the view to go in and out of frame. Star cluster has maybe 20 or 30 stars of differing magnitudes.
M17*,Lester,Lester,6/26/23,11:35 PM,VG,3.5,20mm,"Very big, obvious nebula. It first strikes me as being very elongated. Sort of like a checkmark. Maybe some ravines going through it. A lot of stars around. Somewhat mottled. A star constrast at the bottom of the checkmark. Seems almost black. Big cloud of blackness. Maybe three sections."
